区域,道具,地图map,数量,等级,备注
雷克兰德,广域交易商 秀梅/附近以太：乔布要塞,id=491&x=35.5&y=20.5,,,
雷克兰德,九宫幻卡：异豺,,60,?,5.2新增
雷克兰德,雷克兰德妖精树,,30,?,5.2新增
雷克兰德,雷克兰德花丛,,10,?,5.2新增
雷克兰德,管弦乐琴乐谱：始源湖,,350,3,
雷克兰德,影渊装甲,,350,3,
雷克兰德,斯剑虎的粗皮HQ,,4,2,
雷克兰德,阱蛇麻的叶子HQ,,2,2,
雷克兰德,丝蛾的鳞粉HQ,,2,2,
雷克兰德,管弦乐琴乐谱：不变与变化,,350,2,5.1新增
雷克兰德,战斗系魔晶石柒型,,120,2,5.1新增
雷克兰德,战斗系魔晶石捌型,,240,2,5.1新增
雷克兰德,斯剑虎的粗皮,,2,1,
雷克兰德,阱蛇麻的叶子,,1,1,
雷克兰德,丝蛾的鳞粉,,1,1,
雷克兰德,雷克兰德详细地图,,70,1,
雷克兰德,强心剂,,4,1,5.1新增
雷克兰德,7级暗物质,,6,1,5.1新增
雷克兰德,驱幻晶,,6,1,5.1新增
雷克兰德,幻象棱晶,,6,1,5.1新增
安穆·艾兰,广域交易商 哈尔登/附近以太：络尾聚落,id=493&x=10.6&y=17.1,,,
安穆·艾兰,管弦乐琴乐谱：琥珀沙漠,,350,3,
安穆·艾兰,迷你巨人掌,,400,3,
安穆·艾兰,力山羊肉HQ,,2,2,
安穆·艾兰,力山羊的兽毛HQ,,4,2,
安穆·艾兰,缠尾蛟的粗皮HQ,,4,2,
安穆·艾兰,管弦乐琴乐谱：鲜血沙漠,,350,2,5.1新增
安穆·艾兰,战斗系魔晶石柒型,,120,2,5.1新增
安穆·艾兰,战斗系魔晶石捌型,,240,2,5.1新增
安穆·艾兰,力山羊肉,,1,1,
安穆·艾兰,力山羊的兽毛,,2,1,
安穆·艾兰,缠尾蛟的粗皮,,2,1,
安穆·艾兰,安穆·艾兰详细地图,,70,1,
安穆·艾兰,强心剂,,4,1,5.1新增
安穆·艾兰,7级暗物质,,6,1,5.1新增
安穆·艾兰,驱幻晶,,6,1,5.1新增
安穆·艾兰,幻象棱晶,,6,1,5.1新增
伊尔美格,广域交易商 苏儿·拉德/附近以太：群花馆,id=494&x=16.4&y=30.8,,,
伊尔美格,管弦乐琴乐谱：活着的理由,,350,？,5.2新增
伊尔美格,九宫幻卡：花束篮筐,,40,？,5.2新增
伊尔美格,草小人（宠物）,,400,？,5.2新增
伊尔美格,管弦乐琴乐谱：残忍与自由,,350,3,
伊尔美格,蝴蝶标本（家具）,,100,3,
伊尔美格,鹦鹉蛋HQ,,2,2,
伊尔美格,鹦鹉的羽毛HQ,,4,2,
伊尔美格,绿飘龙的粗皮HQ,,4,2,
伊尔美格,管弦乐琴乐谱：妖精之环,,350,2,5.1新增
伊尔美格,战斗系魔晶石柒型,,120,2,5.1新增
伊尔美格,战斗系魔晶石捌型,,240,2,5.1新增
伊尔美格,鹦鹉蛋,,1,1,
伊尔美格,鹦鹉的羽毛,,2,1,
伊尔美格,绿飘龙的粗皮,,2,1,
伊尔美格,伊尔美格详细地图,,70,1,
伊尔美格,强心剂,,4,1,5.1新增
伊尔美格,7级暗物质,,6,1,5.1新增
伊尔美格,驱幻晶,,6,1,5.1新增
伊尔美格,幻象棱晶,,6,1,5.1新增
珂露西亚岛,广域交易商 兹姆图/附近以太：图姆拉村,id=492&x=11.8&y=8.8,,,
珂露西亚岛,九宫幻卡：得到宽恕的猥亵,,100,？,5.2新增
珂露西亚岛,管弦乐琴乐谱：分隔的世界,,350,3,
珂露西亚岛,九宫幻卡：畏惧装甲,,200,3,
珂露西亚岛,秧鸡胸脯肉HQ,,2,2,
珂露西亚岛,岛狼的牙HQ,,2,2,
珂露西亚岛,管弦乐琴乐谱：疾径,,350,2,5.1新增
珂露西亚岛,战斗系魔晶石柒型,,120,2,5.1新增
珂露西亚岛,战斗系魔晶石捌型,,240,2,5.1新增
珂露西亚岛,秧鸡胸脯肉,,1,1,
珂露西亚岛,岛狼的牙,,1,1,
珂露西亚岛,珂露西亚岛详细地图,,70,1,
珂露西亚岛,强心剂,,4,1,5.1新增
珂露西亚岛,7级暗物质,,6,1,5.1新增
珂露西亚岛,驱幻晶,,6,1,5.1新增
珂露西亚岛,幻象棱晶,,6,1,5.1新增
拉凯提卡大森林,广域交易商 奈栎/附近以太：法诺村,id=495&x=27.9&y=18.2,,,
拉凯提卡大森林,九宫幻卡：华迦斯,,100,？,5.2新增
