等级,内容,图片
1,任务相关,
2,主线,
3,未知なる冒険へ,
3,オジカ?ツンジカ,
3,オールド?シャーレアン (X:9.2 Y:11.2),
2,支线,
3,新职业,
4,蛭蛇剑士,
5,ヴァイパーを称する男,
5,困った様子の裁縫師,
5,ウルダハ：ナル回廊 (X:9.3 Y:9.2),
4,绘灵法师,
5,ピクトマンサーの継承者,
5,困り果てた道士,
5,グリダニア：旧市街 (X:8.0 Y:10.3),
3,职能任务,
4,战斗,
5,超常の力、宿りし祭器,
5,ブルケブ,
5,トライヨラ (X:12.4 Y:14.5),
4,生产,
5,ワチュメキメキ万貨街(需完成[職人の新たなお仕事]),
5,ローペリ,
5,トライヨラ (X:16.1 Y:11.1),
3,其他,
4,幻想药,
5,奇跡の薬(送幻想药),
5,怪しい薬売り,
5,ウルダハ：ザル回廊（X:13.4 Y:9.2）,
4,木人,
5,射爆塔の使用権,
5,エキセントリックな研究者,
5,ソリューション・ナイン (X:19.9 Y:17.1),
4,狩猎,
5,トラル大陸のモブハント（初級）,
5,武の院のマムージャ族,
5,トライヨラ (X:11.8 Y:13.7),
2,调整,
3,新技能,
3,青魔法书优化,
3,极限技修改,
3,未满90级的兵装转换奖励1.5倍→2倍,
1,新地图,
2,主城,
3,图莱尤拉,
3,第九方案,
2,地区,
3,奥可帕查,
3,金碟游乐场,
3,柯扎玛鲁卡,
3,雅克特尔树海,
3,沙罗尼荒野,
3,面世遗产,
1,主线任务,
1,支线任务,
1,PVE,
1,PVP,
1,房屋,
1,新种族,
1,金碟游乐场,
1,画质更新,
1,其他更新,
1,其他优化,
